Date,Open,High,Low,Close,Adj Close,Volume
2013-12-01,null,null,null,null,null,null
2014-01-01,31.719999,32.410000,30.930000,31.430000,20.356323,0
2014-02-01,30.660000,33.389999,30.660000,33.230000,21.522129,0
2014-03-01,32.980000,33.599998,31.250000,31.549999,20.434042,0
2014-04-01,32.090000,32.160000,29.900000,31.040001,20.103729,0
2014-05-01,31.260000,32.340000,30.650000,32.290001,20.913319,0
2014-06-01,32.360001,32.750000,32.180000,32.750000,21.211248,0
2014-07-01,33.270000,33.459999,32.470001,32.759998,21.217724,0
2014-08-01,32.720001,34.470001,32.490002,34.430000,22.299337,0
2014-09-01,34.650002,34.650002,33.750000,33.889999,21.949593,0
2014-10-01,33.340000,35.020000,31.629999,35.020000,22.681461,0
2014-11-01,34.919998,35.639999,34.619999,35.639999,23.083019,0
2014-12-01,35.200001,35.720001,33.389999,34.880001,22.590788,0
2015-01-01,34.849998,35.340000,33.669998,34.669998,22.856564,0
2015-02-01,34.889999,37.240002,34.889999,36.939999,24.353086,0
2015-03-01,37.279999,37.750000,36.169998,36.430000,24.016865,0
2015-04-01,36.189999,37.639999,36.189999,36.639999,24.155310,0
2015-05-01,37.119999,37.930000,36.520000,37.650002,24.821165,0
2015-06-01,37.790001,38.500000,37.020000,37.250000,24.557457,0
2015-07-01,37.549999,39.410000,36.820000,38.919998,25.658422,0
2015-08-01,38.860001,39.189999,34.400002,36.459999,24.036642,0
2015-09-01,35.400002,37.520000,34.060001,34.980000,23.060936,0
2015-10-01,35.290001,37.799999,35.290001,37.490002,24.715681,0
2015-11-01,37.880001,38.259998,36.590000,37.930000,25.005754,0
2015-12-01,38.380001,38.400002,35.250000,35.980000,23.720196,0
2016-01-01,35.090000,35.090000,31.750000,32.669998,22.490789,0
2016-02-01,32.849998,32.849998,30.049999,31.900000,21.960705,0
2016-03-01,32.740002,33.740002,32.220001,33.689999,23.192982,0
2016-04-01,34.099998,34.520000,33.299999,33.299999,22.924498,0
2016-05-01,33.660000,34.270000,33.160000,34.270000,23.592268,0
2016-06-01,34.299999,34.450001,32.049999,33.459999,23.034645,0
2016-07-01,33.610001,35.200001,33.470001,35.200001,24.232504,0
2016-08-01,35.279999,35.500000,34.990002,35.060001,24.136126,0
2016-09-01,35.119999,35.610001,34.380001,35.610001,24.514757,0
2016-10-01,35.590000,35.799999,34.830002,35.049999,24.129238,0
2016-11-01,34.790001,35.830002,34.259998,35.209999,24.239386,0
2016-12-01,34.639999,35.830002,32.209999,35.599998,24.507872,0
2017-01-01,32.480000,34.320000,32.480000,33.970001,25.632032,0
2017-02-01,34.130001,35.410000,34.099998,35.119999,26.499762,0
2017-03-01,35.660000,35.980000,35.259998,35.959999,27.133583,0
2017-04-01,35.950001,37.020000,35.259998,37.020000,27.933405,0
2017-05-01,37.279999,39.279999,37.279999,39.259998,29.623596,0
2017-06-01,39.509998,40.110001,39.029999,39.029999,29.450048,0
2017-07-01,38.750000,40.770000,38.750000,40.150002,30.295147,0
2017-08-01,40.310001,40.779999,39.520000,40.779999,30.770512,0
2017-09-01,40.810001,41.200001,40.340000,41.200001,31.087423,0
2017-10-01,41.240002,42.430000,36.650002,37.560001,28.340866,0
2017-11-01,37.459999,38.820000,37.459999,38.590000,33.585804,0
2017-12-01,38.310001,39.160000,37.599998,38.610001,33.603210,0
2018-01-01,39.150002,42.770000,39.150002,42.430000,36.927849,0
2018-02-01,42.259998,42.520000,38.680000,41.849998,36.423058,0
2018-03-01,41.150002,43.369999,39.840000,40.619999,35.352562,0
2018-04-01,39.630001,42.250000,39.630001,41.070000,35.744205,0
2018-05-01,41.290001,43.220001,41.119999,43.080002,37.493561,0
2018-06-01,43.849998,45.299999,43.139999,43.650002,37.989643,0
2018-07-01,43.970001,46.330002,43.540001,44.180000,38.450916,0
2018-08-01,44.419998,47.419998,44.419998,47.259998,41.131512,0
2018-09-01,47.430000,47.770000,46.380001,47.700001,41.514458,0
2018-10-01,47.840000,47.840000,40.849998,42.709999,37.171539,0
2018-11-01,43.389999,44.410000,39.439999,42.490002,36.980068,0
2018-12-01,43.480000,43.480000,31.049999,33.820000,29.434359,0
